City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Kantunilkin,MX,21.0917,-87.45,80.44,78,64,4.05,broken clouds
117,Mahebourg,MU,-20.4081,57.7,80.89,74,20,3.44,few clouds
118,Balkhash,KZ,46.844,74.9804,14.47,92,8,12.41,clear sky
119,Calvinia,ZA,-31.4707,19.776,78.62,35,77,17.63,broken clouds
120,Lompoc,US,34.6391,-120.4579,64.56,48,0,11.5,clear sky
121,Dunedin,NZ,-45.8742,170.5036,50.81,68,100,5.99,overcast clouds
122,Codrington,AU,-38.2667,141.9667,64.56,67,5,11.83,clear sky
123,Ponta Do Sol,PT,32.6667,-17.1,69.71,67,7,3.04,clear sky
124,Maceio,BR,-9.6658,-35.7353,80.04,78,75,4.61,broken clouds
125,Flinders,AU,-34.5833,150.8552,67.8,92,95,4.0,overcast clouds
126,Castro,BR,-24.7911,-50.0119,76.06,49,0,4.47,clear sky
127,Lavrentiya,RU,65.5833,-171.0,-19.93,92,15,7.2,few clouds
128,Amapa,BR,1.0,-52.0,81.3,76,100,4.61,overcast clouds
129,Yibin,CN,28.7667,104.6238,48.83,80,100,5.37,overcast clouds
130,Port Alfred,ZA,-33.5906,26.891,80.51,78,9,18.75,clear sky
131,Egvekinot,RU,66.3167,-179.1667,-20.47,88,18,7.96,few clouds
132,Port Elizabeth,ZA,-33.918,25.5701,79.09,78,0,21.85,clear sky
133,Portland,US,45.5234,-122.6762,46.81,65,0,6.91,clear sky
134,Aripuana,BR,-9.1667,-60.6333,76.8,84,100,0.43,overcast clouds
135,Albanel,CA,48.8832,-72.4487,8.74,72,96,20.71,overcast clouds
136,Itaguai,BR,-22.8522,-43.7753,81.59,74,100,5.75,overcast clouds
137,Thinadhoo,MV,0.5333,72.9333,82.04,68,100,8.34,overcast clouds
138,Lerwick,GB,60.1545,-1.1494,46.4,86,100,25.55,overcast clouds
139,Kamaishi,JP,39.2667,141.8833,34.72,89,83,5.91,broken clouds
140,Ratnagiri,IN,16.9833,73.3,76.24,67,5,11.32,clear sky
141,Stavern,NO,59.0,10.0333,41.74,91,100,31.14,overcast clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,0,8.05,clear sky
143,Stornoway,GB,58.2093,-6.3865,46.36,88,75,18.41,light intensity shower rain
144,Camacha,PT,33.0833,-16.3333,63.36,68,75,13.8,broken clouds
145,Bengkulu,ID,-3.8004,102.2655,77.61,85,100,5.08,overcast clouds
146,Kiruna,SE,67.8557,20.2251,-4.88,84,56,4.61,broken clouds
147,Numan,NG,9.4667,12.0333,98.56,7,99,5.86,overcast clouds
148,Emerald,AU,-23.5333,148.1667,74.34,62,19,15.1,few clouds
149,Tiznit,MA,29.5833,-9.5,68.94,28,0,12.73,clear sky
150,Sulangan,PH,11.1373,123.7228,79.99,82,100,12.46,overcast clouds
151,Port Hardy,CA,50.6996,-127.4199,37.76,100,100,0.0,fog
152,Sur,OM,22.5667,59.5289,71.98,58,1,7.52,clear sky
153,Cherskiy,RU,68.75,161.3,-24.21,98,100,8.68,overcast clouds
154,Saldanha,ZA,-33.0117,17.9442,66.79,89,100,12.71,overcast clouds
155,Haines Junction,CA,60.7522,-137.5108,35.55,64,97,8.05,overcast clouds
156,Mongu,ZM,-15.2484,23.1274,80.65,57,97,4.59,overcast clouds
157,Vila Velha,BR,-20.3297,-40.2925,82.35,82,40,13.8,scattered clouds
158,Mao,ES,39.8885,4.2658,59.56,51,0,8.05,clear sky
159,Vaitape,PF,-16.5167,-151.75,79.7,76,69,13.51,light rain
160,Tolmin,SI,46.183,13.7332,50.79,42,1,11.99,clear sky
161,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,18,6.87,few clouds
162,Atuona,PF,-9.8,-139.0333,76.89,79,10,12.88,light rain
163,Puerto Escondido,MX,15.85,-97.0667,77.83,88,0,6.91,clear sky
164,Xinqing,CN,48.2333,129.5,-1.46,99,100,2.98,overcast clouds
165,Kobyzhcha,UA,50.8285,31.5044,35.51,84,97,12.35,overcast clouds
166,Vao,NC,-22.6667,167.4833,80.15,82,100,5.12,overcast clouds
167,Kozhva,RU,65.1073,57.0459,8.06,92,100,12.3,overcast clouds
168,Erenhot,CN,43.6475,111.9767,0.03,89,67,7.09,broken clouds
169,Jumla,NP,29.2747,82.1838,30.2,83,5,6.35,clear sky
170,Fort Madison,US,40.6298,-91.3151,11.12,55,92,14.09,overcast clouds
171,Byumba,RW,-1.5763,30.0675,62.8,78,100,4.63,light rain
172,Ilulissat,GL,69.2167,-51.1,33.82,47,75,11.5,broken clouds
173,College,US,64.8569,-147.8028,-5.03,82,75,4.61,broken clouds
174,Geraldton,AU,-28.7667,114.6,72.01,78,6,17.27,clear sky
175,Port Hedland,AU,-20.3167,118.5667,86.05,84,62,3.44,broken clouds
176,Winfield,US,37.2398,-96.9956,23.72,53,0,11.5,clear sky
177,Severo-Kurilsk,RU,50.6789,156.125,19.4,79,86,4.56,overcast clouds
178,Padang,ID,-0.9492,100.3543,78.64,81,99,4.14,overcast clouds
179,Karratha,AU,-20.7377,116.8463,87.22,65,19,7.81,few clouds
180,Adeje,ES,28.1227,-16.726,70.9,68,20,11.5,few clouds
181,Terrace,CA,54.5163,-128.6035,30.11,100,75,4.61,broken clouds
182,Pointe Michel,DM,15.25,-61.3833,82.69,69,24,18.95,few clouds
183,Kloulklubed,PW,7.0419,134.2556,79.3,77,100,23.4,overcast clouds
184,Meulaboh,ID,4.1363,96.1285,79.21,82,71,2.15,broken clouds
185,Kargil,IN,34.5667,76.1,-11.6,79,89,3.94,overcast clouds
186,Ovria,GR,38.1833,21.7167,58.44,66,89,1.54,overcast clouds
187,Kerman,IR,30.2832,57.0788,53.46,43,75,6.91,broken clouds
188,Dikson,RU,73.5069,80.5464,0.73,76,100,27.47,overcast clouds
189,Tempio Pausania,IT,40.8974,9.1035,52.79,72,83,9.91,broken clouds
190,Torbay,CA,47.6666,-52.7314,38.57,72,100,12.66,overcast clouds
191,Touros,BR,-5.1989,-35.4608,86.9,62,36,10.38,scattered clouds
192,Saginaw,US,43.3334,-84.0333,17.08,62,100,12.66,overcast clouds
193,Kindersley,CA,51.4668,-109.1682,28.18,68,75,19.57,broken clouds
