City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Toamasina,MG,2022-02-11 16:57:18,-18.1667,49.3833,80.6,74,40,5.75
109,Novoagansk,RU,2022-02-11 16:57:18,61.9449,76.6625,-11.0,97,10,6.22
110,Luanda,AO,2022-02-11 16:57:19,-8.8368,13.2343,86.0,58,20,9.22
111,Biak,ID,2022-02-11 16:57:19,-0.9131,122.8766,76.12,82,95,3.83
112,Millau,FR,2022-02-11 16:57:20,44.0833,2.9167,48.33,68,57,5.88
113,Mogwase,ZA,2022-02-11 16:57:20,-25.185,27.2665,79.61,27,56,11.72
114,Dukat,RU,2022-02-11 16:57:21,62.55,155.55,-26.52,72,73,3.65
115,Kaitangata,NZ,2022-02-11 16:57:21,-46.2817,169.8464,55.38,86,100,3.13
116,Dongsheng,CN,2022-02-11 16:57:22,39.8161,109.9776,23.9,81,43,10.02
117,Nikolskoye,RU,2022-02-11 16:57:22,59.7035,30.7861,30.09,89,94,9.53
118,Menongue,AO,2022-02-11 16:57:22,-14.6585,17.691,70.83,72,96,3.0
119,Komsomolskiy,UZ,2022-02-11 16:57:23,40.4272,71.7189,42.22,56,100,4.61
120,Fairbanks,US,2022-02-11 16:55:02,64.8378,-147.7164,-6.39,77,0,0.0
121,Castro,BR,2022-02-11 16:57:23,-24.7911,-50.0119,79.41,43,0,4.18
122,Te Anau,NZ,2022-02-11 16:57:24,-45.4167,167.7167,53.87,91,85,1.57
123,Merauke,ID,2022-02-11 16:55:05,-8.4667,140.3333,76.26,89,73,4.65
124,Pauini,BR,2022-02-11 16:57:24,-7.7136,-66.9764,88.32,58,99,3.62
125,Yulara,AU,2022-02-11 16:57:25,-25.2406,130.9889,71.44,35,0,5.75
126,Iqaluit,CA,2022-02-11 16:57:25,63.7506,-68.5145,-2.31,84,75,0.0
127,Cabo San Lucas,MX,2022-02-11 16:54:21,22.8909,-109.9124,74.05,47,0,4.68
128,Sorland,NO,2022-02-11 16:57:26,67.667,12.6934,33.06,49,92,14.65
129,Veracruz,MX,2022-02-11 16:55:26,19.3333,-96.6667,70.86,67,49,3.78
130,Bethel,US,2022-02-11 16:57:26,41.3712,-73.414,52.9,47,7,1.01
131,Otradnoye,RU,2022-02-11 16:57:27,59.7775,30.8181,30.25,90,93,9.66
132,Carnarvon,AU,2022-02-11 16:57:27,-24.8667,113.6333,82.47,65,11,8.05
133,Tuktoyaktuk,CA,2022-02-11 16:57:28,69.4541,-133.0374,-20.2,76,40,16.11
134,Lebu,CL,2022-02-11 16:57:28,-37.6167,-73.65,60.4,58,0,23.8
135,New Norfolk,AU,2022-02-11 16:57:28,-42.7826,147.0587,50.72,62,0,2.24
136,Portland,US,2022-02-11 16:53:26,45.5234,-122.6762,48.42,89,75,4.61
137,Islamkot,PK,2022-02-11 16:57:29,24.6997,70.177,67.01,25,0,1.68
138,Nanortalik,GL,2022-02-11 16:58:51,60.1432,-45.2371,30.33,76,100,5.48
