City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
136,Itaguai,BR,81.59,overcast clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
140,Ratnagiri,IN,76.24,clear sky,16.9833,73.3,Hotel Landmark
145,Bengkulu,ID,77.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
150,Sulangan,PH,79.99,overcast clouds,11.1373,123.7228,Maia's Beach Resort
156,Mongu,ZM,80.65,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
157,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
159,Vaitape,PF,79.7,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
161,Saint-Philippe,RE,80.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
162,Atuona,PF,76.89,light rain,-9.8,-139.0333,Villa Enata
163,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
166,Vao,NC,80.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
175,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
178,Padang,ID,78.64,overcast clouds,-0.9492,100.3543,Mercure Padang
179,Karratha,AU,87.22,few clouds,-20.7377,116.8463,ibis Styles Karratha
182,Pointe Michel,DM,82.69,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
183,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
184,Meulaboh,ID,79.21,broken clouds,4.1363,96.1285,Kost Pria
191,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
194,Salinopolis,BR,82.69,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
196,Viedma,AR,75.45,overcast clouds,-40.8135,-62.9967,Hotel Cristal
201,Arraial Do Cabo,BR,80.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
202,Kattivakkam,IN,81.07,few clouds,13.2167,80.3167,Euronova Freezer
204,Nouadhibou,MR,82.38,overcast clouds,20.931,-17.0347,El Medina
210,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
214,Cockburn Town,TC,77.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
215,Jandaia Do Sul,BR,81.43,clear sky,-23.6031,-51.6433,Hotel Jandaia do Sul
216,Bandarbeyla,SO,77.41,scattered clouds,9.4942,50.8122,JABIR HOTEL
221,Mumford,GH,84.13,scattered clouds,5.2618,-0.759,Spanish Villa
222,Iguaba Grande,BR,80.53,broken clouds,-22.8392,-42.2289,Hostel Iguabella - RJ
226,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
228,Cape Town,ZA,75.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
230,Matara,LK,77.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
234,Atar,MR,80.65,scattered clouds,20.5169,-13.0499,Oumou Elghoura
235,Tumaco,CO,77.38,light rain,1.7986,-78.8156,Unión Victoria
237,Sola,VU,77.7,overcast clouds,-13.8833,167.55,Leumerus Bungalows
245,Namibe,AO,82.04,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
248,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
257,Carutapera,BR,79.93,overcast clouds,-1.195,-46.02,Lidera
259,Mapastepec,MX,84.87,clear sky,15.4333,-92.9,Hotel San Carlos
266,Muncar,ID,76.66,overcast clouds,-8.4333,114.3333,Zaky Homestay
275,Chimore,BO,80.6,moderate rain,-16.9833,-65.1333,Bichito
280,Howard Springs,AU,76.91,scattered clouds,-12.497,131.047,buffalo beach hostel
283,Kiboga,UG,81.59,overcast clouds,0.9161,31.7742,Marie Lustenberger Guest House
286,Sorong,ID,78.21,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
288,Auki,SB,75.0,overcast clouds,-8.7676,160.7034,Auki Motel
289,Rio Grande,BR,82.51,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
291,Saint-Leu,RE,79.66,scattered clouds,-21.15,55.2833,La Caz Oceane
305,Mecca,SA,82.6,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
309,Kulhudhuffushi,MV,81.93,overcast clouds,6.6221,73.07,Haajy Guest House 1
310,Princeton,US,80.02,broken clouds,25.5384,-80.4089,American Best Inn
317,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
318,Palembang,ID,80.69,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
